,Unnamed: 0,micro_labels,macro_labels,ar_labels,frame_name
0,0,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0000
1,1,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0001
2,2,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0002
3,3,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0003
4,4,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0004
5,5,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0005
6,6,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0006
7,7,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0007
8,8,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0008
9,9,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0009
10,10,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0010
11,11,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0011
12,12,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0012
13,13,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0013
14,14,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0014
15,15,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0015
16,16,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0016
17,17,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0017
18,18,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0018
19,19,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0019
20,20,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0020
21,21,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0021
22,22,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0022
23,23,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0023
24,24,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0024
25,25,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0025
26,26,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0026
27,27,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0027
28,28,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0028
29,29,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0029
30,30,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0030
31,31,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0031
32,32,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0032
33,33,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0033
34,34,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0034
35,35,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0035
36,36,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0036
37,37,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0037
38,38,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0038
39,39,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0039
40,40,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0040
41,41,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0041
42,42,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0042
43,43,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0043
44,44,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0044
45,45,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0045
46,46,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0046
47,47,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0047
48,48,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0048
49,49,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0049
50,50,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0050
51,51,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0051
52,52,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0052
53,53,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0053
54,54,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0054
55,55,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0055
56,56,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0056
57,57,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0057
58,58,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0058
59,59,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0059
60,60,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0060
61,61,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0061
62,62,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0062
63,63,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0063
64,64,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0064
65,65,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0065
66,66,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0066
67,67,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0067
68,68,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0068
69,69,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0069
70,70,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0070
71,71,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0071
72,72,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0072
73,73,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0073
74,74,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0074
75,75,lie_still,lying_down,actor_repositioning,actor_2_bed_rolling_cam_1_0075
